"","codes","lat","long"
"198","LWB",37.8583066666667,-80.3994825
"199","LWS",46.3744986111111,-117.015396388889
"200","LYH",37.3253888888889,-79.2012222222222
"201","MAF",31.9425277777778,-102.201916666667
"202","MBS",43.5329269444444,-84.0796358333333
"203","MCI",39.2976111111111,-94.7138888888889
"204","MCO",28.4293888888889,-81.309
"205","MDT",40.1931916666667,-76.7626191666667
"206","MDW",41.7859722222222,-87.7524166666667
"207","MEI",32.3326111111111,-88.7518611111111
"208","MEM",35.0424113888889,-89.9766791666667
"209","MFE",26.1758333333333,-98.2386111111111
"210","MFR",42.3749647222222,-122.8732875
"211","MGM",32.3006388888889,-86.3939722222222
"212","MHK",39.1412222222222,-96.6718055555556
"213","MHT",42.9328055555556,-71.43575
"214","MIA",25.7953611111111,-80.2901158333333
"215","MKE",42.9469319444444,-87.8970644444444
"216","MKG",43.1676717222222,-86.2354387222222
"217","MLB",28.10275,-80.64525
"218","MLI",41.4482777777778,-90.5075277777778
"219","MLU",32.51055525,-92.0361337222222
"220","MMH",37.6240555555556,-118.83875
"221","MOB",30.6914166666667,-88.2428333333333
"222","MOT",48.2576388888889,-101.278027777778
"351","MQT",46.3497,-87.3873
"223","MRY",36.5869522222222,-121.842783055556
"224","MSN",43.1398791388889,-89.3375044722222
"225","MSO",46.9163055555556,-114.090555555556
"226","MSP",44.8819722222222,-93.2217777777778
"227","MSY",29.9932777777778,-90.2590277777778
"228","MTJ",38.5098055555556,-107.89425
"229","MVY",41.3934175,-70.6138744444444
"230","MYR",33.6797411111111,-78.9283213888889
"231","OAJ",34.8291666666667,-77.6121388888889
"232","OAK",37.72125,-122.221138888889
"233","OGD",41.1950703611111,-112.012194722222
"234","OGG",20.8986486111111,-156.430458611111
"235","OGS",44.68225,-75.46325
"236","OKC",35.3930740277778,-97.6007617222222
"237","OMA",41.3031666666667,-95.8940555555556
"238","OME",64.5125555555556,-165.444388888889
"239","ONT",34.0560141666667,-117.6011875
"240","ORD",41.9769402777778,-87.9081497222222
"241","ORF",36.8946041666667,-76.2012291666667
"242","ORH",42.2671388888889,-71.8756111111111
"243","OTH",43.4169444444444,-124.247027777778
"244","OTZ",66.8848055555556,-162.598138888889
"245","OWB",37.7388341666667,-87.1668285555556
"246","PAE",47.9073180555556,-122.282093888889
"247","PAH",37.0602883333333,-88.7729591666667
"248","PBG",44.6509444444444,-73.4681388888889
"249","PBI",26.6831616666667,-80.0955919444444
"250","PDX",45.5887088611111,-122.596869416667
"251","PGD",26.9185925,-81.9908861111111
"252","PHF",37.1318888888889,-76.4929722222222
"253","PHL",39.8720838888889,-75.2406630555556
"254","PHX",33.4342777777778,-112.011583333333
"255","PIA",40.6641944444444,-89.69325
"256","PIB",31.4671388888889,-89.3370555555556
"257","PIE",27.9086336111111,-82.68651
"258","PIH",42.9097925,-112.595918888889
"259","PIR",44.3826944444444,-100.285972222222
"260","PIT",40.4914166666667,-80.2326944444444
"261","PLN",45.5709166666667,-84.7967222222222
"262","PNS",30.4734166666667,-87.1866111111111
"263","PPG",-14.3316622222222,-170.711503055556
"264","PRC",34.6548333333333,-112.419222222222
"265","PSC",46.2646816666667,-119.119023888889
"266","PSE",18.0087805555556,-66.5645208333333
"267","PSG",56.8014722222222,-132.946222222222
"268","PSM",43.0779444444444,-70.8232777777778
"269","PSP",33.8296666666667,-116.506694444444
"270","PUB",38.2899475,-104.498028055556
"271","PVD",41.7223333333333,-71.4277222222222
"272","PVU",40.2191666666667,-111.723361111111
"273","PWM",43.6456435,-70.3086163611111
"274","RAP",44.0453333333333,-103.057361111111
"275","RDD",40.5089722222222,-122.293388888889
"276","RDM",44.2540688888889,-121.149971388889
"277","RDU",35.8776388888889,-78.7874722222222
"278","RFD",42.1953611111111,-89.0972222222222
"279","RHI",45.6309005555556,-89.4666277777778
"280","RIC",37.5051811111111,-77.3197386111111
"281","RKS",41.5942222222222,-109.065194444444
"282","RNO",39.4991111111111,-119.768111111111
"283","ROA",37.3254722222222,-79.9754166666667
"284","ROC",43.1191436111111,-77.6718688888889
"285","ROW",33.2998696666667,-104.529397638889
"286","RST",43.9082777777778,-92.5000277777778
"287","RSW",26.5361666666667,-81.7551666666667
"288","SAF",35.6171111111111,-106.089416666667
"289","SAN",32.7335555555556,-117.189666666667
"290","SAT",29.5339583333333,-98.4690569444444
"291","SAV",32.1275833333333,-81.2021388888889
"292","SBA",34.4261913611111,-119.841492694444
"293","SBN",41.7082238888889,-86.3173375
"294","SBP",35.2372777777778,-120.642611111111
"295","SCC",70.1947541111111,-148.465164861111
"352","SCE",40.8514,-77.8528
"296","SCK",37.8944102777778,-121.23874
"297","SDF",38.1740858333333,-85.7364988888889
"298","SEA",47.4498888888889,-122.311777777778
"299","SFB",28.7771780555556,-81.2349138888889
"300","SFO",37.6188055555556,-122.375416666667
"301","SGF",37.2456666666667,-93.3886388888889
"302","SHD",38.2638333333333,-78.8964444444444
"303","SHV",32.4465152777778,-93.82604
"304","SIT",57.0468343611111,-135.361068694444
"305","SJC",37.3629947222222,-121.928620555556
"306","SJT",31.3577483333333,-100.496304166667
"307","SJU",18.4393991666667,-66.0021333333333
"308","SLC",40.7883933333333,-111.977773333333
"309","SLN",38.7906111111111,-97.6522222222222
"310","SMF",38.6954444444444,-121.590777777778
"311","SMX",34.8999444444444,-120.458083333333
"312","SNA",33.6756619444444,-117.868233055556
"313","SPI",39.8442222222222,-89.6780833333333
"349","SPN",15.1197,145.7283
"314","SPS",33.9888005555556,-98.4919025
"315","SRQ",27.3954444444444,-82.5543888888889
"316","STL",38.7486982222222,-90.3700257222222
"317","STS",38.5096944444444,-122.812888888889
"318","STT",18.3373055555556,-64.9733333333333
"319","STX",17.7015044444444,-64.8019429166667
"320","SUN",43.5037805555556,-114.295558333333
"321","SUX",42.4013094444444,-96.3844180555556
"322","SWF",41.5041111111111,-74.1048333333333
"323","SWO",36.1613888888889,-97.0858888888889
"324","SYR",43.1111944444444,-76.1063055555556
"325","TLH",30.3967541666667,-84.3508688888889
"326","TOL",41.5868166666667,-83.8078266666667
"327","TPA",27.9754722222222,-82.53325
"328","TRI",36.4752077777778,-82.4074152777778
"329","TTN",40.2766944444444,-74.8134722222222
"330","TUL",36.1983888888889,-95.8881111111111
"331","TUS",32.1160691666667,-110.941013888889
"332","TVC",44.7415786111111,-85.58187
"333","TWF",42.4818055555556,-114.48775
"334","TXK",33.4537222222222,-93.9910277777778
"335","TYR",32.3535472222222,-95.4029777777778
"336","TYS",35.81109,-83.9940688888889
"337","UIN",39.9430173888889,-91.1944633611111
"346","USA",35.3804,-80.7141
"338","VEL",40.4360777777778,-109.5114225
"339","VLD",30.7813722222222,-83.2762194444445
"340","VPS",30.4832194166667,-86.5260443333333
"341","WRG",56.4843333333333,-132.369833333333
"342","WYS",44.6883888888889,-111.117638888889
"343","XNA",36.2815791666667,-94.3077655555556
"344","YAK",59.5033233333333,-139.660268055556
"353","YUM",32.6686,-114.5991
